StartTime,ServiceName,AllocatedCPU,HealthyHosts,CPUAverage
1535303100,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535333880,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535287200,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535260620,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535312640,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535270160,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535346480,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535336940,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535282760,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535285940,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535311380,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.03
1535268900,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535283720,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535345220,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535311260,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535309160,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535268780,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535336700,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535266680,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535294220,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535343000,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535321760,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535279280,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535304720,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535344980,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.02
1535319540,Prod-SamsungCTV-EcsService-1QKI54202SHBC,1000,1,0.50
